season,timestamp,match_datetime,home_team_name,away_team_name,stadium_name,referee,attendance,target_outcome,Away_Team_Pre_Match_xG,Home_Team_Pre_Match_xG,average_corners_per_match_pre_match,away_team_fouls,away_team_possession,away_team_red_cards,away_team_shots,away_team_shots_off_target,away_team_shots_on_target,away_team_yellow_cards,home_team_fouls,home_team_possession,home_team_red_cards,home_team_shots,home_team_shots_off_target,home_team_shots_on_target,home_team_yellow_cards,team_a_xg,team_b_xg
2019,1563120000,2019-07-14 16:00:00,Senegal,Tunisia,30 June Air Defence Stadium,,,HOME_WIN,1.43,1.71,8.8,28,49,0,18,13,5,2,26,51,0,14,11,3,1,1.65,1.76
2019,1563130800,2019-07-14 19:00:00,Algeria,Nigeria,Cairo International Stadium,,,HOME_WIN,1.62,1.5,10.2,18,51,0,12,7,5,1,20,49,0,10,6,4,3,1.19,1.31
2019,1563390000,2019-07-17 19:00:00,Tunisia,Nigeria,,,,AWAY_WIN,1.57,1.49,9.67,15,48,0,10,5,5,1,18,52,0,12,10,2,2,1.18,1.2
2019,1563562800,2019-07-19 19:00:00,Senegal,Algeria,Cairo International Stadium,,,AWAY_WIN,1.45,1.7,8.83,14,36,0,2,0,2,4,7,64,0,14,10,4,2,1.45,0.42
2021,1641744000,2022-01-09 16:00:00,Cameroon,Burkina,,,,HOME_WIN,0.0,0.0,0.0,21,40,0,12,6,6,2,15,60,0,17,11,6,1,1.87,1.41
2021,1641754800,2022-01-09 19:00:00,Ethiopia,Cape Verde Islands,,,,AWAY_WIN,0.0,0.0,0.0,8,56,0,15,10,5,1,11,44,1,7,5,2,1,0.73,1.75
2021,1641819600,2022-01-10 13:00:00,Senegal,Zimbabwe,Stade Municipal de Bangangte,,,HOME_WIN,0.0,0.0,0.0,12,39,0,12,9,3,2,9,61,0,16,12,4,1,1.76,1.16
2021,1641830400,2022-01-10 16:00:00,Guinea,Malawi,Stade Municipal de Bangangte,,,HOME_WIN,0.0,0.0,0.0,14,35,0,11,4,7,2,11,65,0,14,9,5,1,1.46,1.39
2021,1641830400,2022-01-10 16:00:00,Morocco,Ghana,Stade Omnisport Ahmadou Ahidjo,,,HOME_WIN,0.0,0.0,0.0,21,38,0,6,3,3,2,21,62,0,13,9,4,1,1.36,0.86
2021,1641841200,2022-01-10 19:00:00,Comoros,Gabon,Stade Omnisport Ahmadou Ahidjo,,,AWAY_WIN,0.0,0.0,0.0,24,37,0,9,5,4,1,12,63,0,11,8,3,1,1.45,1.25
2021,1641906000,2022-01-11 13:00:00,Algeria,Sierra Leone,Stade de la Réunification,,,DRAW,0.0,0.0,0.0,11,33,0,10,7,3,1,13,67,0,20,11,9,1,2.26,1.0
2021,1641916800,2022-01-11 16:00:00,Nigeria,Egypt,Stade Omnisport Roumdé Adjia,,,HOME_WIN,0.0,0.0,0.0,6,57,0,6,3,3,0,15,43,0,16,11,5,0,1.81,0.79
2021,1641927600,2022-01-11 19:00:00,Sudan,Guinea-Bissau,Stade Omnisport Roumdé Adjia,,,DRAW,0.0,0.0,0.0,12,59,0,10,6,4,1,18,41,0,11,6,5,2,1.32,1.19
